text_type,classifier,classifier_name,use_hash,stopwords,analyzer_type,accuracy,training_time,precision,recall,f1
raw,L-SVM,Linear Support Vector Machine,False,Spacy,stemmer,0.9775784753363229,2.2478818893432617,0.9782923034684726,0.9775784753363229,0.9776088504165091
raw,L-SVM,Linear Support Vector Machine,True,Spacy,stemmer,0.9730941704035875,2.246738910675049,0.9740267451178218,0.9730941704035875,0.9731784693045137
raw,L-SVM,Linear Support Vector Machine,False,Spacy,lemmatizer,0.9820627802690582,1.0793111324310303,0.9823807582551977,0.9820627802690582,0.9820782683128048
raw,L-SVM,Linear Support Vector Machine,True,Spacy,lemmatizer,0.9730941704035875,0.9913499355316162,0.9740267451178218,0.9730941704035875,0.9731784693045137
raw,L-SVM,Linear Support Vector Machine,False,Builtin,stemmer,0.9820627802690582,2.259235143661499,0.9823967847904975,0.9820627802690582,0.9819931755982518
raw,L-SVM,Linear Support Vector Machine,True,Builtin,stemmer,0.9730941704035875,2.2565739154815674,0.9740267451178218,0.9730941704035875,0.9731784693045137
raw,L-SVM,Linear Support Vector Machine,False,Builtin,lemmatizer,0.9820627802690582,1.0252819061279297,0.9823807582551977,0.9820627802690582,0.9820782683128048
raw,L-SVM,Linear Support Vector Machine,True,Builtin,lemmatizer,0.9730941704035875,0.9782500267028809,0.9740267451178218,0.9730941704035875,0.9731784693045137
raw,L-SVM,Linear Support Vector Machine,False,NoStopwords,stemmer,0.9775784753363229,3.102541923522949,0.9782301832269802,0.9775784753363229,0.9775614441987126
raw,L-SVM,Linear Support Vector Machine,True,NoStopwords,stemmer,0.9730941704035875,3.0961339473724365,0.9734172031468985,0.9730941704035875,0.9730855833272914
raw,L-SVM,Linear Support Vector Machine,False,NoStopwords,lemmatizer,0.9730941704035875,1.3057751655578613,0.9740267451178218,0.9730941704035875,0.9731784693045137
raw,L-SVM,Linear Support Vector Machine,True,NoStopwords,lemmatizer,0.9641255605381166,1.2566132545471191,0.9648430493273543,0.9641255605381166,0.9641285016735867
raw,ET,Extra Trees Classifier,False,Custom,stemmer,0.33183856502242154,2.276987075805664,0.3906628231155208,0.33183856502242154,0.258039531297103
raw,ET,Extra Trees Classifier,True,Custom,stemmer,0.2645739910313901,2.2678050994873047,0.31049327354260087,0.2645739910313901,0.1583446374188252
raw,ET,Extra Trees Classifier,False,Custom,lemmatizer,0.2600896860986547,0.9404590129852295,0.5668873894639789,0.2600896860986547,0.1510087976105445
raw,ET,Extra Trees Classifier,True,Custom,lemmatizer,0.25112107623318386,0.8963088989257812,0.2695377155565277,0.25112107623318386,0.14053634900357057
raw,ET,Extra Trees Classifier,False,Spacy,stemmer,0.27802690582959644,2.250972032546997,0.2633723821723184,0.27802690582959644,0.17647252212563944
